Directory Index,Cumulative Processing Time (seconds)
1,69.33625912666321
2,111.58591198921204
3,352.11315298080444
4,366.1199679374695
5,380.1227970123291
6,394.0046970844269
7,407.9473657608032
8,478.1121211051941
9,571.7274658679962
10,585.4224150180817
11,625.5327248573303
12,639.1034898757935
13,707.7137608528137
14,749.3424587249756
15,791.6726808547974
16,805.4056339263916
17,820.2305359840393
18,833.881829738617
19,847.7626328468323
20,861.6143369674683
21,875.437891960144
22,889.2643120288849
23,907.667356967926
24,925.7822148799896
25,969.5019030570984
26,987.7632749080658
27,1005.7179288864136
28,1023.8915429115295
29,1092.674064874649
30,1132.6456429958344
31,1146.5698130130768
32,1160.4324538707733
33,1174.326652765274
34,1188.0127511024475
35,1229.8860499858856
36,1299.2109167575836
37,1313.0366489887238
38,1326.8518028259277
39,1341.8658678531647
40,1356.815486907959
41,1370.4732189178467
42,1384.4790329933167
43,1398.2129640579224
44,1412.9899067878723
45,1426.7883899211884
46,1440.528282880783
47,1454.2274329662323
48,1496.128793001175
49,1537.6209959983826
50,1551.5386309623718
51,1565.1691880226135
52,1579.0780427455902
53,1593.8788568973541
54,1608.7881217002869
55,1622.6528687477112
56,1637.7446930408478
57,1652.546481847763
58,1666.6054708957672
59,1680.4088881015778
60,1695.3283638954163
61,1710.044068813324
62,1723.939130783081
63,1737.789841890335
64,1752.504942893982
65,1766.4713547229767
66,1780.3868567943573
67,1794.0085949897766
68,1835.993659734726
69,1850.8304660320282
70,1893.7132868766785
71,1908.5634710788727
72,1923.3726069927216
73,1938.1597628593445
74,1951.9817419052124
75,1993.8478751182556
76,2007.5887360572815
77,2022.4827010631561
78,2037.2437179088593
79,2079.830642938614
80,2093.694724082947
81,2135.815638065338
82,2149.922271966934
83,2163.928920984268
84,2177.6580159664154
85,2191.3669340610504
86,2206.2274689674377
87,2220.9087569713593
88,2235.8535408973694
89,2249.64968585968
90,2264.4444029331207
91,2306.3908898830414
92,2321.2990169525146
93,2335.000506877899
94,2349.7659981250763
95,2363.7455821037292
96,2378.6070098876953
97,2393.3269617557526
98,2438.942484855652
99,2453.8214819431305
100,2467.5211219787598
101,2482.407880783081
102,2524.0766808986664
103,2564.932780981064
104,2578.7864599227905
105,2592.596313714981
106,2607.5963888168335
107,2622.317967891693
108,2636.2012169361115
109,2649.8963539600372
110,2664.743887901306
111,2679.4481949806213
112,2694.207509994507
113,2741.959985971451
114,2756.9291367530823
115,2775.1033158302307
116,2794.2656257152557
117,2860.1260738372803
118,2874.863497018814
119,2889.564395904541
120,2932.7382650375366
121,2947.4697647094727
122,2962.4757149219513
123,2977.4159898757935
124,3023.407084941864
125,3037.950644016266
126,3052.7001378536224
127,3067.4449808597565
128,3137.616559743881
129,3179.9736618995667
130,3194.698945045471
131,3237.3209569454193
132,3251.959445953369
133,3266.803339958191
134,3281.5104048252106
135,3296.4518699645996
136,3311.4047107696533
137,3329.7924280166626
138,3342.4768369197845
139,3389.062912940979
140,3403.9727668762207
141,3418.701684951782
142,3433.675679922104
143,3448.4941959381104
144,3467.454824924469
145,3509.45644903183
146,3523.1543028354645
147,3537.9059970378876
148,3552.6888258457184
149,3566.3559148311615
150,3582.143821954727
151,3629.0443120002747
152,3647.1678290367126
153,3666.3048329353333
154,3682.1450097560883
155,3697.0195887088776
156,3711.1292757987976
157,3725.871565103531
158,3740.789888858795
159,3755.4797627925873
160,3798.034014940262
161,3811.8265788555145
162,3825.863984823227
163,3871.5439291000366
164,3885.134083032608
165,3903.062474012375
166,3917.986695766449
167,3931.885934114456
168,3946.6155598163605
169,3961.4814159870148
170,3976.3118987083435
171,3990.1781430244446
172,4032.893224954605
173,4077.9434900283813
174,4091.6801488399506
175,4105.563410997391
176,4120.552102804184
177,4163.947968006134
178,4177.733429908752
179,4192.547318935394
180,4207.200619935989
181,4225.137428998947
182,4240.991595983505
183,4255.630137681961
184,4270.296495914459
185,4312.053203821182
186,4326.878172874451
187,4397.167248725891
188,4412.2329018116
189,4427.150800943375
190,4441.907126903534
191,4456.664106845856
192,4503.537884950638
193,4518.437064886093
194,4537.542777061462
195,4556.830395936966
196,4575.870204925537
197,4621.845546960831
198,4664.824276924133
199,4709.80823969841
200,4751.887099742889
201,4765.9256110191345
202,4780.893141031265
203,4795.728750705719
204,4809.56632399559
205,4881.545743703842
206,4924.9494478702545
207,4940.767664909363
208,5010.474143028259
209,5028.468332052231
210,5043.393072843552
211,5058.138123035431
212,5077.170070886612
213,5091.961818933487
214,5107.745210886002
215,5125.779341936111
216,5140.801301002502
217,5155.752453804016
218,5171.703943967819
219,5187.633487701416
220,5202.385427951813
221,5218.089709997177
222,5233.9177668094635
223,5248.588679790497
224,5292.3005628585815
225,5307.108266830444
226,5322.817909955978
227,5337.727787017822
228,5408.837944030762
229,5422.616233825684
230,5437.3856608867645
231,5453.168853998184
232,5496.261982917786
233,5539.0946979522705
234,5581.806463003159
235,5623.740406990051
236,5642.885168790817
237,5657.633362770081
238,5673.4472489356995
239,5688.402387857437
240,5704.109969854355
241,5719.965719938278
242,5734.773980855942
243,5748.769927978516
244,5763.414691925049
245,5778.338246822357
246,5792.228478908539
247,5807.09819483757
248,5822.940464735031
249,5865.9623148441315
250,5880.6839418411255
251,5894.64564204216
252,5910.41139793396
253,5952.50595498085
254,5967.487592935562
255,5983.318336009979
256,5999.163884878159
257,6015.063082933426
258,6029.038591861725
259,6049.093909978867
260,6064.014714717865
261,6077.958421945572
262,6092.719614982605
263,6107.723659992218
264,6123.59694480896
265,6139.388237953186
