Directory Index,Cumulative Processing Time (seconds)
1,14.459622859954834
2,83.36275482177734
3,99.13589477539062
4,119.98938512802124
5,137.03427696228027
6,156.62723994255066
7,201.35249185562134
8,223.8806369304657
9,240.08013916015625
10,261.5293200016022
11,277.35415410995483
12,293.4347789287567
13,308.76296305656433
14,324.6825108528137
15,340.62317299842834
16,423.1650240421295
17,438.15185379981995
18,482.4250519275665
19,530.6196670532227
20,545.2876811027527
21,560.0993738174438
22,574.9407110214233
23,589.9271597862244
24,604.850152015686
25,619.5669131278992
26,634.0961921215057
27,648.5775120258331
28,671.5395519733429
29,690.5600249767303
30,709.2982778549194
31,728.1122789382935
32,747.3098320960999
33,765.8204228878021
34,811.7997939586639
35,830.162969827652
36,874.8960769176483
37,893.3227310180664
38,907.5357258319855
39,922.2081308364868
40,936.4065270423889
41,950.4646921157837
42,964.7543041706085
43,978.9753518104553
44,993.4065737724304
45,1008.3880729675293
46,1022.304563999176
47,1063.8085358142853
48,1077.8179168701172
49,1091.7210550308228
50,1105.6038610935211
51,1119.7016861438751
52,1133.747390985489
53,1147.726674079895
54,1161.6256420612335
55,1175.613182067871
56,1189.6849989891052
57,1203.4399330615997
58,1217.3646590709686
59,1259.15061211586
60,1273.2970650196075
61,1287.322240114212
62,1301.2989778518677
63,1315.4286007881165
64,1357.4139637947083
65,1371.4041018486023
66,1385.4094769954681
67,1399.4628779888153
68,1413.587896823883
69,1427.6779599189758
70,1441.897873878479
71,1455.8195478916168
72,1469.6688039302826
73,1483.6738119125366
74,1529.7164249420166
75,1543.6915128231049
76,1561.847687959671
77,1580.004142999649
78,1619.4439868927002
79,1633.6457228660583
80,1651.328418970108
81,1669.7698369026184
82,1683.7567241191864
83,1702.0937821865082
84,1743.0128059387207
85,1762.4186148643494
86,1803.2945749759674
87,1818.42134308815
88,1865.2636439800262
89,1936.3323719501495
90,1951.1991550922394
91,1965.3047819137573
92,1983.4488887786865
93,1997.6168258190155
94,2015.6331779956818
95,2031.006824016571
96,2045.110023021698
97,2060.2000510692596
98,2079.987771987915
99,2095.0902910232544
100,2109.8723249435425
101,2157.101886034012
102,2171.6814019680023
103,2186.6598601341248
104,2254.6314599514008
105,2268.7065539360046
106,2283.6554980278015
107,2325.7179169654846
108,2343.518290042877
109,2358.1473639011383
110,2373.2207329273224
111,2415.725630044937
112,2461.9387259483337
113,2476.088150024414
114,2490.030029773712
115,2504.2985320091248
116,2522.73956990242
117,2540.4790499210358
118,2606.4528229236603
119,2620.68465590477
120,2639.033476829529
121,2653.22967004776
122,2672.4549090862274
123,2686.4747200012207
124,2706.1640820503235
125,2724.6462259292603
126,2744.110191822052
127,2758.117908000946
128,2801.045789003372
129,2819.3787920475006
130,2833.62317609787
131,2875.698052883148
132,2889.685616016388
133,2903.7269551754
134,2917.853723049164
135,2989.2509009838104
136,3030.863348007202
137,3045.0749049186707
138,3059.222328901291
139,3073.2686591148376
140,3091.67875289917
141,3105.903809070587
142,3119.9491679668427
143,3134.2067778110504
144,3204.216808080673
145,3245.670387029648
146,3288.7191791534424
147,3302.723398923874
148,3317.1621358394623
149,3331.2737290859222
150,3345.2453639507294
151,3387.7496337890625
152,3401.6746990680695
153,3415.8849020004272
154,3430.2194168567657
155,3471.9609949588776
156,3514.663295984268
157,3533.0537078380585
158,3547.15762591362
159,3562.348778963089
160,3576.65371799469
161,3590.6543140411377
162,3604.803266763687
163,3618.912178039551
164,3633.2530169487
165,3647.4825139045715
166,3661.4897627830505
167,3679.902625799179
168,3694.1957879066467
169,3708.2132530212402
170,3722.3421120643616
171,3736.43235206604
172,3751.2006158828735
173,3765.046861886978
174,3780.0253961086273
175,3794.244509935379
176,3812.774172067642
177,3831.3671131134033
178,3849.952078819275
179,3891.4106929302216
180,3906.4202568531036
181,3947.595866918564
182,3966.3280658721924
183,3980.392439842224
184,3994.51455283165
185,4009.604982852936
186,4023.887065887451
187,4037.9616498947144
188,4051.853308916092
189,4066.198320865631
190,4084.42578792572
191,4098.381989002228
192,4112.512089967728
193,4131.001329898834
194,4145.027476072311
195,4187.560961961746
196,4201.836879014969
197,4215.64944601059
198,4256.815258979797
199,4270.855928897858
200,4315.2105548381805
201,4333.575521945953
202,4352.906044006348
203,4371.532605886459
204,4416.373594999313
205,4430.734219789505
206,4444.793395996094
207,4458.8842141628265
208,4473.126118898392
209,4487.455436944962
210,4501.67226600647
211,4572.160178899765
212,4614.493997812271
213,4629.53387594223
214,4644.826155900955
215,4660.995431900024
216,4675.4926590919495
217,4690.903774023056
218,4705.453241825104
219,4749.682187795639
220,4763.597454786301
221,4778.571138858795
222,4821.65328502655
223,4836.804831027985
224,4851.065080881119
225,4925.151223897934
226,4939.665175914764
227,4953.963911056519
228,4968.438156843185
229,4982.492723941803
230,4997.362051963806
231,5012.037391901016
232,5026.483393907547
233,5045.9248950481415
234,5059.939888954163
235,5074.091975927353
236,5088.707561969757
237,5107.374242782593
238,5121.598479986191
239,5163.718195915222
240,5177.8093049526215
241,5192.0320410728455
242,5235.917073965073
243,5254.483352899551
244,5323.118875980377
245,5341.827853918076
246,5356.44403386116
247,5370.729818820953
248,5384.661454916
249,5399.091572999954
250,5413.201988935471
251,5427.238951921463
252,5442.4398601055145
253,5456.76823592186
254,5498.424738883972
255,5513.491339921951
