Directory Index,Cumulative Processing Time (seconds)
1,8.627750158309937
2,18.174932956695557
3,27.742410898208618
4,37.10687828063965
5,46.467849254608154
6,58.013911962509155
7,67.45130014419556
8,77.10184597969055
9,86.66723704338074
10,96.23431491851807
11,105.77887010574341
12,115.43545913696289
13,125.00386619567871
14,134.63232922554016
15,144.39111804962158
16,154.00344324111938
17,164.57315707206726
18,174.16808915138245
19,183.74519610404968
20,193.301922082901
21,203.8629491329193
22,213.40248703956604
23,222.91023516654968
24,232.45517110824585
25,241.95134711265564
26,252.18919801712036
27,278.75694012641907
28,289.0732910633087
29,299.3509449958801
30,309.58853697776794
31,320.8460998535156
32,331.15073823928833
33,357.7654252052307
34,368.1251029968262
35,379.4624309539795
36,389.558632850647
37,399.8404700756073
38,425.0980820655823
39,435.34921002388
40,445.52771401405334
41,455.73079800605774
42,465.7016050815582
43,475.68561816215515
44,485.59487104415894
45,495.4020709991455
46,505.2974519729614
47,515.1681361198425
48,525.0067420005798
49,536.0146842002869
50,560.5665011405945
51,570.3577909469604
52,580.2343590259552
53,590.0858778953552
54,600.7127349376678
55,610.0792639255524
56,619.7764530181885
57,629.4716341495514
58,639.2250699996948
59,649.0574488639832
60,658.853334903717
61,668.7263631820679
62,681.2143001556396
63,691.8599238395691
64,701.5580310821533
65,711.2468130588531
66,720.8451609611511
67,730.6226658821106
68,740.1968021392822
69,749.8324429988861
70,760.3924741744995
71,770.2043299674988
72,779.9028079509735
73,790.5963912010193
74,800.15327501297
75,809.8934850692749
76,819.3753561973572
77,829.0522291660309
78,838.651603937149
79,848.1213450431824
80,858.7127771377563
81,868.3060672283173
82,877.9794280529022
83,887.6641910076141
84,898.3318581581116
85,922.2064912319183
86,931.8095321655273
87,941.502837896347
88,951.1769621372223
89,960.8001091480255
90,970.4351699352264
91,979.9671320915222
92,990.5214381217957
93,1000.3049800395966
94,1009.9674689769745
95,1019.479542016983
96,1029.1579089164734
97,1038.8255751132965
98,1048.4398410320282
99,1058.0632021427155
100,1067.7660341262817
101,1077.468943119049
102,1088.4527280330658
103,1097.8736989498138
104,1107.5894272327423
105,1117.1074941158295
106,1141.2887389659882
107,1150.8103001117706
108,1160.4554960727692
109,1169.960296869278
110,1179.601713180542
111,1190.1540310382843
112,1199.7181270122528
113,1210.4273641109467
114,1219.9289572238922
115,1229.555006980896
116,1239.1485621929169
117,1263.5996899604797
118,1273.2917439937592
119,1282.8522448539734
120,1292.4764819145203
121,1302.104928970337
122,1311.801054239273
123,1321.48286318779
124,1331.182281255722
125,1340.859248161316
126,1350.3921070098877
127,1360.0221869945526
128,1369.5558080673218
129,1379.142963886261
130,1402.8742411136627
131,1412.3756070137024
132,1421.8339450359344
133,1432.5007169246674
134,1442.1085438728333
135,1451.8609540462494
136,1461.4927470684052
137,1471.0040628910065
138,1480.5796389579773
139,1490.1090061664581
140,1499.5883612632751
141,1509.2654390335083
142,1518.780974149704
143,1542.9685459136963
144,1552.4627940654755
145,1561.9418590068817
146,1571.330463886261
147,1580.7913610935211
148,1590.400493144989
149,1600.9506759643555
150,1610.548858165741
151,1634.8923780918121
152,1658.8581421375275
153,1668.4097499847412
154,1678.895131111145
155,1688.5402019023895
156,1712.3517620563507
157,1721.812343120575
158,1731.3343660831451
159,1741.9243741035461
160,1751.4427320957184
161,1774.780769109726
162,1784.2023990154266
163,1793.7158031463623
164,1803.2583270072937
165,1812.748142004013
166,1822.1597402095795
167,1831.7278370857239
168,1841.25958609581
169,1851.8720979690552
170,1861.583827972412
171,1871.2155828475952
172,1896.3564939498901
173,1905.9544291496277
174,1915.4796311855316
175,1924.9743349552155
176,1934.5893921852112
177,1944.2536849975586
178,1953.897311925888
179,1977.8022272586823
180,1987.179486989975
181,2010.6018450260162
182,2020.1563210487366
183,2030.7468540668488
184,2040.2032461166382
185,2049.8135962486267
186,2059.5036981105804
187,2069.1855521202087
188,2079.7157430648804
189,2089.3353610038757
190,2098.89790892601
191,2108.5319249629974
192,2117.9964900016785
193,2127.677327156067
194,2138.204148054123
195,2147.5304560661316
196,2157.003187894821
197,2166.5859220027924
198,2176.1640071868896
199,2185.596568107605
200,2195.1511521339417
201,2204.6452221870422
202,2214.1233611106873
203,2224.6825380325317
204,2234.194976091385
205,2243.9120099544525
206,2253.4618549346924
207,2262.8704171180725
208,2272.517972946167
209,2282.1472630500793
210,2291.7815930843353
211,2301.328351020813
212,2310.8450679779053
213,2320.504539012909
214,2330.077217102051
215,2339.679113149643
216,2349.0961022377014
217,2358.5192410945892
218,2381.838662147522
219,2391.3751850128174
220,2400.9716970920563
221,2410.4500789642334
222,2420.024624109268
223,2429.4309029579163
224,2438.942720890045
225,2448.4666821956635
226,2458.008234024048
227,2467.5411591529846
228,2477.0802211761475
229,2487.517184972763
230,2497.1326949596405
231,2506.6393530368805
232,2516.2491681575775
233,2525.8670251369476
234,2535.4730281829834
235,2545.109605073929
236,2554.6534790992737
237,2565.2547430992126
238,2574.83562207222
239,2584.390983104706
240,2593.977902173996
241,2603.467017173767
242,2613.126997947693
243,2622.6793761253357
244,2632.227252960205
245,2641.7009909152985
246,2651.22701215744
247,2660.7653789520264
248,2670.219940185547
249,2679.76695394516
250,2689.313662290573
251,2698.845491886139
252,2708.416706085205
253,2718.0880789756775
254,2727.8120062351227
255,2737.517716884613
256,2747.072678089142
257,2756.6149139404297
258,2766.240262031555
259,2775.996223926544
260,2785.5276939868927
261,2795.0429759025574
262,2804.6599621772766
263,2814.1737110614777
264,2823.696904182434
265,2833.3918340206146
266,2843.9430179595947
267,2853.523908138275
268,2876.560028076172
269,2886.129868030548
270,2895.5343899726868
271,2919.4351642131805
272,2928.9669091701508
273,2938.3728420734406
274,2947.805016040802
275,2957.3952779769897
276,2967.0197479724884
277,2976.613951921463
278,2986.1616899967194
279,2995.7156488895416
280,3005.222181081772
281,3014.8701269626617
282,3024.565685033798
283,3034.284464120865
284,3043.9909212589264
285,3053.462424993515
286,3063.3288621902466
287,3072.9514479637146
288,3083.671458005905
289,3093.3294780254364
290,3103.0083010196686
291,3112.507894039154
292,3122.4208340644836
293,3131.902661085129
294,3141.4348890781403
295,3151.081139087677
296,3160.6456639766693
297,3170.1890931129456
298,3179.7076032161713
299,3190.236265897751
300,3199.8276991844177
301,3209.412976026535
302,3218.9623670578003
303,3228.4904160499573
304,3237.933496952057
305,3248.5084431171417
306,3258.0075409412384
307,3267.464437007904
308,3277.0153901576996
309,3286.622265100479
310,3296.1626060009003
311,3305.706715106964
312,3315.0633940696716
313,3324.5018191337585
314,3333.8564081192017
315,3343.38032412529
316,3353.0048439502716
317,3362.495285987854
318,3372.080458879471
319,3381.591861963272
320,3392.3051199913025
321,3401.808723926544
322,3411.2606739997864
323,3422.0389020442963
324,3431.449946165085
325,3440.9430000782013
326,3450.3704750537872
327,3459.856443166733
328,3470.338802099228
329,3479.668787956238
330,3489.1328930854797
331,3498.5931210517883
332,3507.9867310523987
333,3517.351930141449
334,3527.921823978424
335,3538.2825152873993
336,3547.814930200577
337,3557.1934902668
338,3566.521380186081
339,3576.052566051483
340,3585.566281080246
341,3595.0228011608124
342,3604.403640985489
343,3614.0009908676147
344,3623.577735185623
345,3632.932137966156
346,3699.638563156128
347,3709.155462026596
348,3719.8016970157623
349,3729.244600057602
350,3738.563822031021
351,3748.0448281764984
352,3757.646354198456
353,3767.2297320365906
354,3776.7724120616913
355,3786.2281692028046
356,3795.7795400619507
357,3805.18980717659
358,3814.610617160797
359,3824.0966272354126
360,3833.6492369174957
361,3843.136074066162
362,3852.6476850509644
363,3862.2550570964813
364,3871.7063159942627
365,3881.1314520835876
366,3905.110764980316
367,3914.5309071540833
368,3924.064845085144
369,3933.568507194519
370,3943.181344985962
371,3952.8014690876007
372,3962.264961004257
373,3971.758775949478
374,3981.3385379314423
375,3990.9189281463623
376,4000.4784989356995
377,4010.285402059555
378,4019.8247878551483
379,4029.2651240825653
380,4038.807953119278
381,4048.4514899253845
382,4057.9868841171265
383,4067.7181968688965
384,4077.472220182419
385,4087.215942144394
386,4096.756624221802
387,4106.385265111923
388,4115.688136100769
389,4125.239993095398
390,4134.801332950592
391,4144.442768096924
392,4154.181902170181
393,4164.8366141319275
394,4174.445126056671
395,4184.051418066025
396,4193.517243146896
397,4203.2412440776825
398,4212.9558801651
399,4222.569941043854
400,4232.292722225189
401,4241.887468099594
402,4251.545408964157
403,4261.266803979874
404,4270.885851144791
405,4280.72615814209
406,4290.248733043671
407,4299.89747095108
408,4309.508366107941
409,4319.141261100769
410,4328.796580076218
411,4338.358340978622
412,4348.169805049896
413,4357.770380973816
414,4367.307157993317
415,4376.784939050674
416,4386.287518978119
417,4395.8143310546875
418,4405.531588077545
419,4414.998820066452
420,4424.708200216293
421,4450.54033613205
422,4474.585467100143
423,4484.170585155487
424,4494.7057819366455
425,4505.161170244217
426,4514.818889141083
427,4524.2981569767
428,4533.937931060791
429,4543.482664823532
430,4568.402034044266
431,4577.950564146042
432,4587.400073289871
433,4598.169063091278
434,4608.841898918152
435,4618.407670974731
436,4627.922704219818
437,4637.473904132843
438,4647.03227686882
439,4656.594089984894
440,4666.288644075394
441,4675.800909042358
442,4685.367807865143
443,4694.817696094513
444,4704.436439037323
445,4714.055678844452
446,4723.660288095474
447,4733.4066779613495
448,4744.218748092651
449,4753.839826107025
450,4763.550747156143
451,4773.174381017685
452,4782.8173270225525
453,4792.350038051605
454,4802.073558092117
455,4812.667293071747
456,4822.235593080521
457,4831.858178138733
458,4841.558797121048
459,4851.3039309978485
460,4861.06153011322
461,4871.791867017746
462,4881.4683430194855
463,4891.979208230972
464,4901.598639011383
