Directory Index,Cumulative Processing Time (seconds)
1,8.207283973693848
2,17.489302158355713
3,26.645698070526123
4,35.87294006347656
5,45.20007610321045
6,54.37674021720886
7,63.60056114196777
8,72.73345303535461
9,81.97365307807922
10,91.23344898223877
11,100.46416902542114
12,109.76316428184509
13,119.0672299861908
14,128.22056007385254
15,137.54013013839722
16,146.8978521823883
17,156.10516023635864
18,165.31330513954163
19,174.57618403434753
20,183.9160680770874
21,193.20878219604492
22,202.8085081577301
23,212.1509130001068
24,221.39658212661743
25,230.67997431755066
26,239.96893525123596
27,249.23894119262695
28,258.8449909687042
29,268.16528511047363
30,277.4861261844635
31,286.716016292572
32,295.93408203125
33,305.2189271450043
34,314.5378451347351
35,324.15891098976135
36,333.4411201477051
37,342.93810510635376
38,352.5460569858551
39,361.7435939311981
40,372.2256200313568
41,381.8339741230011
42,391.4889352321625
43,400.7838361263275
44,410.06180930137634
45,420.4826760292053
46,429.91075825691223
47,439.51431608200073
48,448.9470021724701
49,458.22199511528015
50,467.81782126426697
51,477.03913712501526
52,487.4314250946045
53,497.7410533428192
54,507.3430802822113
55,516.766478061676
56,526.1020271778107
57,535.7004961967468
58,544.9867031574249
59,554.210785150528
60,563.423947095871
61,573.0518152713776
62,582.5571320056915
63,592.1544861793518
64,601.3919050693512
65,611.6746690273285
66,620.9597010612488
67,630.6127531528473
68,640.1031861305237
69,650.5073280334473
70,660.082239151001
71,669.474799156189
72,679.8088109493256
73,689.4201819896698
74,698.9028742313385
75,708.5022070407867
76,718.968935251236
77,728.4118001461029
78,738.9509081840515
79,748.5727910995483
80,757.9686300754547
81,767.5658140182495
82,776.9049589633942
83,786.2019970417023
84,795.5111122131348
85,805.8448209762573
86,815.145015001297
87,825.5698690414429
88,834.8590452671051
89,845.5065801143646
90,854.974867105484
91,865.3343431949615
92,874.7614252567291
93,884.0508689880371
94,893.3174662590027
95,902.659056186676
96,912.0388553142548
97,921.6311140060425
98,931.0818450450897
99,941.553295135498
100,951.2574939727783
101,961.1492080688477
102,970.468857049942
103,980.0728299617767
104,989.3702893257141
105,999.5460321903229
106,1008.6697070598602
107,1017.9894762039185
108,1028.353704214096
109,1037.6953783035278
110,1048.1991863250732
111,1057.3935821056366
112,1067.8105580806732
113,1077.3924670219421
114,1086.8037099838257
115,1096.2452561855316
116,1105.543890953064
117,1115.2051923274994
118,1124.670408964157
119,1133.995824098587
120,1143.6015400886536
121,1152.9110519886017
122,1162.5145931243896
123,1171.9482991695404
124,1181.3467290401459
125,1190.9638509750366
126,1200.3834292888641
127,1210.7905950546265
128,1220.1978800296783
129,1229.6073353290558
130,1239.025974035263
131,1248.6622941493988
132,1258.2619352340698
133,1267.703677892685
134,1277.0441510677338
135,1286.702003955841
136,1296.2370681762695
137,1305.7910730838776
138,1315.3920860290527
139,1324.98201918602
140,1334.457720041275
141,1343.618574142456
142,1352.9887371063232
143,1362.3531620502472
144,1371.9800992012024
145,1382.522565126419
146,1391.923611164093
147,1401.3967761993408
148,1411.0694241523743
149,1420.535940170288
150,1430.130627155304
151,1439.583437204361
152,1448.9296550750732
153,1459.294439315796
154,1468.9093990325928
155,1478.3964750766754
156,1488.017634153366
157,1497.3507089614868
158,1506.9533560276031
159,1516.3842010498047
160,1525.9975140094757
161,1535.4299230575562
162,1544.8950352668762
163,1555.1937773227692
164,1564.6553361415863
165,1574.224953174591
166,1583.8183751106262
167,1593.2441909313202
168,1602.7049720287323
169,1612.3164672851562
170,1621.521606206894
171,1631.0645191669464
172,1640.731831073761
173,1650.3033111095428
174,1660.818148136139
175,1670.3753862380981
176,1679.9747650623322
177,1689.2948842048645
178,1699.6060111522675
179,1709.2006731033325
180,1718.487095117569
181,1728.897667169571
182,1738.4892570972443
183,1747.9369132518768
184,1757.3831059932709
185,1766.7805562019348
186,1776.3916730880737
187,1785.9280240535736
